iter	Passed	Remaining
945	57143	3261
946	57197	3201
947	57251	3140
948	57310	3079
949	57369	3019
950	57427	2958
951	57481	2898
952	57534	2837
953	57588	2776
954	57644	2716
955	57694	2655
956	57744	2594
957	57797	2533
958	57861	2473
959	57918	2413
960	57973	2352
961	58032	2292
962	58078	2231
963	58123	2170
964	58175	2109
965	58229	2049
966	58276	1988
967	58329	1928
968	58384	1867
969	58474	1808
970	58540	1748
971	58596	1687
972	58658	1627
973	58717	1567
974	58773	1507
975	58845	1447
976	58902	1386
977	58952	1326
978	59003	1265
979	59050	1205
980	59113	1144
981	59177	1084
982	59232	1024
983	59290	964
984	59346	903
985	59412	843
986	59476	783
987	59526	722
988	59577	662
989	59641	602
990	59694	542
991	59746	481
992	59801	421
993	59852	361
994	59909	301
995	59964	240
996	60012	180
997	60084	120
998	60142	60
999	60197	0
